Metric,CV Mean,CV SD
PR-AUC,0.15966279017953597,0.003809318481083513
ROC-AUC,0.6326305925940096,0.0022150062491770096
Precision,0.43171802054154995,0.10042166606731473
Recall,0.004906771344455349,0.002237832041411458
F1,0.009679993501456525,0.00437652737800856
Accuracy,0.9033864025006227,0.00013562627157009263
