Component,Correlation_with_target
PC1,0.07061086923662925
PC4,0.058530672062476634
PC8,0.050912641651332885
PC3,0.04177445001963701
PC6,0.03904351002669948
PC2,-0.03087214737980204
PC5,-0.02685479187071169
PC7,-0.021787052308083216
PC9,0.015639361347485652
PC10,0.006703406538231667
